"zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","lstat","medv","target_prob","target_factor"
0,7.07,"0",0.469,7.185,61.1,1.60283616879954,0.693147180559945,242,17.8,1.39376637595859,3.54673968695281,0.0224101885217334,"0"
0,8.14,"0",0.538,6.096,84.5,1.49557468428452,1.38629436111989,307,21,2.32825283974262,2.90142159408275,0.744658728722141,"1"
0,8.14,"0",0.538,6.495,94.4,1.49395971858799,1.38629436111989,307,21,2.54944517092557,2.91235066461494,0.815729368619865,"1"
0,8.14,"0",0.538,5.95,82,1.38379123090177,1.38629436111989,307,21,3.32179335887489,2.58021682959233,0.403032114088327,"0"
0,5.96,"0",0.499,5.85,41.5,1.36970755751549,1.6094379124341,279,19.2,2.17133680638409,3.04452243772342,0.110526632184163,"0"
1,5.13,"0",0.453,5.741,66.2,1.9776025957878,2.07944154167984,284,19.7,2.57642175862377,2.92852352386054,0.297927493778056,"0"
1,5.13,"0",0.453,5.966,93.4,1.91963950631575,2.07944154167984,284,19.7,2.67000213346468,2.77258872223978,0.385518951086685,"0"
0,4.49,"0",0.449,6.63,56.1,1.49013622420843,1.09861228866811,247,18.5,1.87640694328834,3.28091121578765,0.0104497379231704,"0"
0,4.49,"0",0.449,6.121,56.8,1.3211156350949,1.09861228866811,247,18.5,2.13298230860787,3.10009228887823,0.00360687355658272,"0"
0,2.89,"0",0.445,6.163,69.6,1.25139059865509,0.693147180559945,276,18,2.42833629829961,3.06339092202781,0.000628348925844849,"0"
0,25.65,"0",0.581,5.856,97,0.664953446189163,0.693147180559945,188,19.1,3.23514279733207,2.85070650150373,0.209437141612083,"0"
0,25.65,"0",0.581,5.613,95.6,0.563721633119488,0.693147180559945,188,19.1,3.30542042626839,2.75366071235426,0.118664581300125,"0"
0,21.89,"0",0.624,5.637,94.7,0.683046338380516,1.38629436111989,437,21.2,2.90908446682832,2.66025953726586,0.824127604527778,"1"
0,19.58,"0",0.605,6.101,93,0.82566556026009,1.6094379124341,403,14.7,2.28340227357727,3.2188758248682,0.831806360055339,"1"
0,19.58,"0",0.605,5.88,97.3,0.870749284903777,1.6094379124341,403,14.7,2.48740352998659,2.94968833505258,0.741479048219265,"1"
0,10.59,"1",0.489,5.96,92.1,1.35508745149518,1.38629436111989,277,18.6,2.84897089215859,3.07731226054641,0.187230547156053,"0"
0,6.2,"0",0.504,6.552,21.4,1.21642495351517,2.07944154167984,307,17.4,1.3244189574018,3.44998754583159,0.267584960414139,"0"
0,6.2,"0",0.507,8.247,70.4,1.29524758010152,2.07944154167984,307,17.4,1.37371557891303,3.87743156065853,0.934375714155959,"1"
1,5.86,"0",0.431,6.957,6.8,2.1868038025083,1.94591014905531,330,19.1,1.26129787094521,3.38777436133001,0.0438239856585467,"0"
1,2.97,"0",0.4,7.088,20.8,1.98887384848743,0,285,15.3,2.06051353179432,3.47196645255036,6.53455770544124e-06,"0"
1,1.76,"0",0.385,6.23,31.5,2.20708689551551,0,241,18.2,2.55955019278377,3.00071981506503,7.41811412702002e-06,"0"
1,2.18,"0",0.472,6.616,58.1,1.21491274436427,1.94591014905531,222,18.4,2.18941639488841,3.34638914516716,0.143021663836522,"0"
0,9.9,"0",0.544,6.122,52.8,0.970892547065739,1.38629436111989,304,18.4,1.78842056796254,3.09557760852371,0.149354214110141,"0"
0,7.38,"0",0.493,6.415,40.1,1.55204182329279,1.6094379124341,287,19.6,1.81156209652423,3.2188758248682,0.226453001671281,"0"
0,7.38,"0",0.493,6.312,28.9,1.68933907162858,1.6094379124341,287,19.6,1.81645208181843,3.13549421592915,0.181682334795412,"0"
0,5.19,"0",0.515,5.895,59.6,1.72544158819041,1.6094379124341,224,20.2,2.35707327827812,2.91777073208428,0.685821644316412,"1"
1,2.01,"0",0.435,6.635,29.7,2.12154271769847,1.38629436111989,280,17,1.79009141212736,3.19867311755068,0.00625967805152792,"0"
0,18.1,"0",0.718,3.561,87.9,0.478219784017076,3.17805383034795,666,20.2,1.96290772542388,3.31418600467253,0.999989876800785,"1"
0,18.1,"1",0.631,7.016,97.5,0.184319559456628,3.17805383034795,666,20.2,1.08518926833597,3.91202300542815,0.999829803006491,"1"
0,18.1,"0",0.584,6.348,86.1,0.719155999740996,3.17805383034795,666,20.2,2.87016905057865,2.67414864942653,0.976127019471776,"1"
0,18.1,"0",0.74,5.935,87.9,0.599166117089051,3.17805383034795,666,20.2,3.52694858696772,2.12823170584927,0.999896345584807,"1"
0,18.1,"0",0.74,5.627,93.9,0.597296854903111,3.17805383034795,666,20.2,3.1302631665116,2.54944517092557,0.999978309749734,"1"
0,18.1,"0",0.74,5.818,92.4,0.623904277817785,3.17805383034795,666,20.2,3.09602999486936,2.35137525716348,0.999960322956789,"1"
0,18.1,"0",0.74,6.219,100,0.695544305159667,3.17805383034795,666,20.2,2.80880010420235,2.91235066461494,0.999996014840007,"1"
0,18.1,"0",0.74,5.854,96.6,0.639535411111296,3.17805383034795,666,20.2,3.16926532431487,2.37954613413017,0.999970674500238,"1"
0,18.1,"0",0.713,6.525,86.5,0.890275244670873,3.17805383034795,666,20.2,2.89756802476676,2.64617479738412,0.999968575577366,"1"
0,18.1,"0",0.713,6.376,88.4,0.942776857109982,3.17805383034795,666,20.2,2.68444033546308,2.87356463957978,0.999987945994131,"1"
0,18.1,"0",0.655,6.209,65.4,1.0863372577925,3.17805383034795,666,20.2,2.58173083442354,3.06339092202781,0.999831071909223,"1"
0,9.69,"0",0.585,5.794,70.6,1.06219032203414,1.79175946922805,391,19.2,2.64617479738412,2.90690105984738,0.844631184010695,"1"
0,11.93,"0",0.573,6.976,91,0.77357442967256,0,273,21,1.72988406550997,3.17387845893747,0.0545591401354224,"0"
